,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
4,MIA,-100,5.5,8.5,26,UNDER,PHI,4,4.0,7.5,13.0,10.729803503440133,OVER,2019,2019-04-26
5,CLE,-100,4.5,8.5,26,OVER,HOU,4,9.0,7.5,3.0,9.485271941952504,UNDER,2019,2019-04-26
6,BAL,100,4.5,9.0,26,UNDER,MIN,4,7.0,11.5,7.0,9.989064548024167,UNDER,2019,2019-04-26
7,NYY,100,4.0,6.5,26,OVER,SF,4,10.0,1.0,5.0,9.556338101630482,OVER,2019,2019-04-26
8,CIN,100,3.0,8.0,26,OVER,STL,4,13.0,5.0,8.0,10.012794451841136,OVER,2019,2019-04-26
9,TEX,-100,1.5,8.5,26,OVER,SEA,4,9.0,7.5,6.0,9.855676431052434,UNDER,2019,2019-04-26
10,COL,100,1.5,8.5,26,OVER,ATL,4,12.0,7.5,9.0,10.056214388358168,OVER,2019,2019-04-26
11,DET,-100,0.5,9.0,26,OVER,CWS,4,23.0,11.5,11.0,10.261108320823793,UNDER,2019,2019-04-26
12,MIL,100,0.5,7.5,26,OVER,NYM,4,12.0,3.5,4.0,9.530966973595023,OVER,2019,2019-04-26
0,MIA,-100,2.0,8.5,11,UNDER,CIN,4,5.0,1.0,3.0,10.38945989927299,OVER,2019,2019-04-11
1,PIT,100,1.0,9.0,11,UNDER,CHC,4,2.0,2.0,1.0,9.580035685842828,UNDER,2019,2019-04-11
2,SEA,-100,1.0,10.0,11,OVER,KC,4,13.0,3.0,2.0,10.277944500432527,UNDER,2019,2019-04-11
0,OAK,100,3.0,9.5,6,UNDER,HOU,4,6.0,4.0,1.0,8.736279788602204,UNDER,2019,2019-04-06
1,SEA,100,1.0,9.0,6,OVER,CWS,4,11.0,3.0,4.0,10.299762969467354,OVER,2019,2019-04-06
2,MIA,-100,1.0,8.5,6,UNDER,ATL,4,6.0,2.0,3.0,10.073708483252874,OVER,2019,2019-04-06
3,TOR,100,1.0,8.0,6,OVER,CLE,4,9.0,1.0,2.0,9.865664377041297,OVER,2019,2019-04-06
0,NYM,-100,7.0,6.5,6,UNDER,SD,5,4.0,1.0,8.0,10.3149073562877,OVER,2019,2019-05-06
1,MIN,100,7.0,8.5,6,UNDER,TOR,5,8.0,8.0,1.0,8.442776377338044,UNDER,2019,2019-05-06
